"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Проверяет, что при запросе файла с некорректным UUID API
        возвращает ошибку 422 и корректное сообщение о валидации.
        ","261","Get file with incorrect file id","LMS service","Fri Aug 29 12:51:08 GMT 2025","passed","Fri Aug 29 12:51:08 GMT 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Fri Aug 29 12:51:01 GMT 2025","passed","Fri Aug 29 12:51:01 GMT 2025","Get entities","Courses","",""
"
        Проверяет создание курса через API.
        ","39","Create course","LMS service","Fri Aug 29 12:51:00 GMT 2025","passed","Fri Aug 29 12:51:00 GMT 2025","Create entity","Courses","",""
"","38","Update course","LMS service","Fri Aug 29 12:51:01 GMT 2025","passed","Fri Aug 29 12:51:01 GMT 2025","Update entity","Courses","",""
"","556","Attempt to create user with email: gmail.com","LMS service","Fri Aug 29 12:51:08 GMT 2025","passed","Fri Aug 29 12:51:08 GMT 2025","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Fri Aug 29 12:51:06 GMT 2025","passed","Fri Aug 29 12:51:07 GMT 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Fri Aug 29 12:51:06 GMT 2025","passed","Fri Aug 29 12:51:06 GMT 2025","Get entity","Files","",""
"
        Проверяет удаление задания через API.
        ","287","Delete exercise","LMS service","Fri Aug 29 12:51:04 GMT 2025","passed","Fri Aug 29 12:51:04 GMT 2025","Delete entity","Exercises","",""
"","287","Login with correct email and password","LMS service","Fri Aug 29 12:50:59 GMT 2025","passed","Fri Aug 29 12:51:00 GMT 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Fri Aug 29 12:51:09 GMT 2025","passed","Fri Aug 29 12:51:09 GMT 2025","Get entity","Users","",""
"","20","Delete file","LMS service","Fri Aug 29 12:51:07 GMT 2025","passed","Fri Aug 29 12:51:07 GMT 2025","Delete entity","Files","",""
"
        Проверяет создание задания через API.
        ","21","Create exercise","LMS service","Fri Aug 29 12:51:02 GMT 2025","passed","Fri Aug 29 12:51:02 GMT 2025","Create entity","Exercises","",""
"
        Проверяет обновление задания через API.
        ","290","Update exercise","LMS service","Fri Aug 29 12:51:02 GMT 2025","passed","Fri Aug 29 12:51:03 GMT 2025","Update entity","Exercises","",""
"","528","Attempt to create user with email: mail.ru","LMS service","Fri Aug 29 12:51:07 GMT 2025","passed","Fri Aug 29 12:51:08 GMT 2025","Create entity","Users","",""
"
        Проверяет получение задания по его ID через API.
        ","18","Get exercise","LMS service","Fri Aug 29 12:51:03 GMT 2025","passed","Fri Aug 29 12:51:03 GMT 2025","Get entity","Exercises","",""
"","261","Create file","LMS service","Fri Aug 29 12:51:05 GMT 2025","passed","Fri Aug 29 12:51:05 GMT 2025","Create entity","Files","",""
"
        Проверяет получение списка заданий по course_id через API.
        ","19","Get exercises","LMS service","Fri Aug 29 12:51:04 GMT 2025","passed","Fri Aug 29 12:51:04 GMT 2025","Get entities","Exercises","",""
"","292","Attempt to create user with email: example.com","LMS service","Fri Aug 29 12:51:08 GMT 2025","passed","Fri Aug 29 12:51:08 GMT 2025","Create entity","Users","",""
"","264","Create file with empty filename","LMS service","Fri Aug 29 12:51:06 GMT 2025","passed","Fri Aug 29 12:51:06 GMT 2025","Validate entity","Files","",""
